,SIGAGENTE,NUC,NUC_CLUSTER,NUC_CATEGORIA
0,AME                 ,906769.0,2,Pequeno
5,CEEE-D              ,1957930.0,2,Pequeno
8,CELESC              ,3469262.0,0,Médio
10,CEMIG-D             ,9431438.0,1,Grande
44,COELBA              ,6257879.0,1,Grande
53,COPEL-DIS           ,5222652.0,0,Médio
55,COSERN              ,1573660.0,2,Pequeno
56,CPFL JAGUARI        ,511567.0,2,Pequeno
57,CPFL-PAULISTA       ,4971797.0,0,Médio
58,CPFL-PIRATINING     ,1940801.0,2,Pequeno
64,EDP ES              ,1774410.0,2,Pequeno
65,EDP SP              ,2182270.0,2,Pequeno
68,ELEKTRO             ,3037221.0,0,Médio
70,ELETROPAULO         ,7973761.0,1,Grande
72,EMR                 ,603476.0,2,Pequeno
73,EMS                 ,1143712.0,2,Pequeno
74,EMT                 ,1674939.0,2,Pequeno
75,ENEL CE             ,3815783.0,0,Médio
76,ENEL RJ             ,2656566.0,0,Médio
77,EPB                 ,1874712.0,2,Pequeno
78,EQUATORIAL AL       ,1376085.0,2,Pequeno
79,EQUATORIAL GO       ,3538448.0,0,Médio
80,EQUATORIAL MA       ,2835504.0,0,Médio
81,EQUATORIAL PA       ,3051568.0,0,Médio
82,EQUATORIAL PI       ,1547244.0,2,Pequeno
83,ERO                 ,709273.0,2,Pequeno
84,ESE                 ,897661.0,2,Pequeno
85,ESS                 ,887536.0,2,Pequeno
86,ETO                 ,681872.0,2,Pequeno
88,LIGHT SESA          ,3881051.0,0,Médio
90,Neoenergia Brasília ,1190749.0,2,Pequeno
91,Neoenergia PE       ,3797424.0,0,Médio
94,RGE SUL             ,3100828.0,0,Médio
